datetime,depth,temp
2011-10-03 12:00:00,15.5,15.5
2011-10-03 12:00:00,16,15.4
2011-10-03 12:00:00,16.5,15.1
2011-10-03 12:00:00,17,14.9
2011-10-03 12:00:00,17.5,14.2
2011-10-03 12:00:00,18,13.8
2011-10-03 12:00:00,19,12.5
2011-10-03 12:00:00,20,12.3
2011-10-03 12:00:00,21,12.2
2011-10-03 12:00:00,22,12.2
2011-10-03 12:00:00,23,12.1
2011-10-03 12:00:00,24,12
2011-10-03 12:00:00,24.5,12
2011-10-31 12:00:00,0,12.2
2011-10-31 12:00:00,1,12.2
2011-10-31 12:00:00,2,12.2
2011-10-31 12:00:00,3,12.2
2011-10-31 12:00:00,4,12.2
2011-10-31 12:00:00,5,12.2
2011-10-31 12:00:00,6,12.2
2011-10-31 12:00:00,7,12.2
2011-10-31 12:00:00,8,12.2
2011-10-31 12:00:00,9,12.2
2011-10-31 12:00:00,10,12.2
2011-10-31 12:00:00,11,12.2
2011-10-31 12:00:00,12,12.2
2011-10-31 12:00:00,13,12.2
2011-10-31 12:00:00,14,12.2
2011-10-31 12:00:00,15,12.2
2011-10-31 12:00:00,16,12.2
2011-10-31 12:00:00,17,12.2
2011-10-31 12:00:00,18,12.2
2011-10-31 12:00:00,19,12.2
2011-10-31 12:00:00,20,12.2
2011-10-31 12:00:00,21,12.2
2011-10-31 12:00:00,22,12.2
2011-10-31 12:00:00,23,12.1
2011-10-31 12:00:00,24,12.1
2011-10-31 12:00:00,24.5,12.1
2012-02-22 12:00:00,0,1.9
2012-02-22 12:00:00,1,2.8
2012-02-22 12:00:00,2,2.8
2012-02-22 12:00:00,3,2.8
2012-02-22 12:00:00,4,2.8
2012-02-22 12:00:00,5,2.8
2012-02-22 12:00:00,6,2.8
2012-02-22 12:00:00,7,2.8
2012-02-22 12:00:00,8,2.8
2012-02-22 12:00:00,9,2.8
2012-02-22 12:00:00,10,2.8
2012-02-22 12:00:00,11,2.8
2012-02-22 12:00:00,12,2.9
2012-02-22 12:00:00,13,3
2012-02-22 12:00:00,14,3.1
2012-02-22 12:00:00,15,3.1
2012-02-22 12:00:00,16,3.2
2012-02-28 12:00:00,1,NA
2012-02-28 12:00:00,3,NA
2012-02-28 12:00:00,4,NA
2012-02-28 12:00:00,5,NA
2012-03-21 12:00:00,0,7.3
2012-03-21 12:00:00,1,7.3
2012-03-21 12:00:00,2,7.2
2012-03-21 12:00:00,3,7.2
2012-03-21 12:00:00,4,7.1
2012-03-21 12:00:00,5,7
2012-03-21 12:00:00,6,7
2012-03-21 12:00:00,7,6.9
2012-03-21 12:00:00,8,6.9
2012-03-21 12:00:00,9,6.9
2012-03-21 12:00:00,10,6.8
2012-03-21 12:00:00,11,6.8
2012-03-21 12:00:00,12,6.8
2012-03-21 12:00:00,13,6.7
2012-03-21 12:00:00,14,6.7
2012-03-21 12:00:00,15,6.6
2012-03-21 12:00:00,16,6.6
2012-03-21 12:00:00,17,6.6
2012-03-21 12:00:00,18,6.6
2012-03-21 12:00:00,19,6.5
2012-03-21 12:00:00,20,6.2
2012-03-21 12:00:00,21,6.1
2012-03-21 12:00:00,22,6.1
2012-03-21 12:00:00,23,6.1
2012-03-21 12:00:00,24,6.1
2012-03-21 12:00:00,24.3,6.1
2012-04-04 12:00:00,0,8.9
2012-04-04 12:00:00,1,8
2012-04-04 12:00:00,2,8
2012-04-04 12:00:00,3,8
2012-04-04 12:00:00,4,8
2012-04-04 12:00:00,5,8
2012-04-04 12:00:00,6,8
2012-04-04 12:00:00,7,8
2012-04-04 12:00:00,8,8
2012-04-04 12:00:00,9,8
2012-04-04 12:00:00,10,8
2012-04-04 12:00:00,11,8
2012-04-04 12:00:00,12,8
2012-04-04 12:00:00,13,8
2012-04-04 12:00:00,14,8
2012-04-04 12:00:00,15,8
2012-04-04 12:00:00,16,8
2012-04-04 12:00:00,17,8
2012-04-04 12:00:00,18,8
2012-04-04 12:00:00,19,7.9
2012-04-04 12:00:00,20,7.9
2012-04-04 12:00:00,21,7.9
2012-04-04 12:00:00,22,7.9
2012-04-04 12:00:00,23,7.9
2012-04-04 12:00:00,24,7.8
2012-04-04 12:00:00,24.3,7.8
2012-04-17 12:00:00,0,11
2012-04-17 12:00:00,1,10.3
2012-04-17 12:00:00,2,10.2
2012-04-17 12:00:00,3,10.1
2012-04-17 12:00:00,4,10
2012-04-17 12:00:00,5,10
2012-04-17 12:00:00,6,10
2012-04-17 12:00:00,7,10
2012-04-17 12:00:00,8,10
2012-04-17 12:00:00,9,9.9
2012-04-17 12:00:00,10,9.9
2012-04-17 12:00:00,11,9.9
2012-04-17 12:00:00,12,9.9
2012-04-17 12:00:00,13,9.9
2012-04-17 12:00:00,14,9.9
