"PERMANENT_ID","lake.name","date","year","month","day","Z.max","sample.depth","sample.layer","TotalP.ug.L","MRP.ug.L","TFP.ug.L","TotalN","chl.a.ug.L","Fe"
131843304,"Constable",1998-08-11,1998,8,11,3.8,2,"Ye",3.3,2.31,2.18,0.41,2.68,"0.29"
131843304,"Constable",1999-07-07,1999,7,7,4.1,3,"N",5.59,1.54,2.16,0.44,1.85,"0.36"
131843304,"Constable",1999-08-17,1999,8,17,4.5,3,"N",6.14,1.61,2.02,0.33,3.93,"0.53"
131843304,"Constable",2000-07-12,2000,7,12,3.9,2,"Ye",5.71,1.16,1.22,0.39,1.44,"0.23"
131843304,"Constable",2000-08-15,2000,8,15,4,3,"Ye",6.4,1.77,0.5,0.34,2.33,"0.31"
131843304,"Constable",2001-07-10,2001,7,10,3.7,3,"N",6.15,0.61,2.06,0.34,0.76,"0.13"
131843304,"Constable",2001-09-06,2001,9,6,4.2,3,"Ye",5.37,2,2.13,0.37,0.65,"0.33"
131843304,"Constable",2002-08-28,2002,8,28,3.9,3.5,"N",4.55,1.36,0.5,0.45,0,"0.63"
131843304,"Constable",2002-09-24,2002,9,24,3.9,3.5,"N",5.46,2.39,1.74,0.41,1.96,"0.51"
131843304,"Constable",2003-07-10,2003,7,10,3.7,3.5,"N",4.23,1.19,1.1,0.29,1.34,"0.13"
131843304,"Constable",2003-08-07,2003,8,7,4.2,2,"Ye",5.98,1.2,0.5,0.39,2.34,"0.38"
131843304,"Constable",2004-07-21,2004,7,21,4.3,2,"Ye",4.16,1.76,2.51,0.43,2.4,"0.13"
131843304,"Constable",2004-08-04,2004,8,4,4.2,2.5,"Ye",3.68,NA,2.24,0.39,5.14,"0.4"
131843304,"Constable",2005-07-13,2005,7,13,4.1,2,"Ye",5.07,2.27,1.59,0.35,3.02,"0.4"
131843304,"Constable",2005-08-10,2005,8,10,4.1,2,"Ye",5.19,2.43,1.77,0.35,1.61,"0.56"
131843304,"Constable",2006-07-14,2006,7,14,4.6,3,"Ye",6.36,2.21,2.39,0.29,1.93,"0.48"
131843304,"Constable",2006-08-10,2006,8,10,4.1,2.5,"Ye",7.88,2.17,1.36,0.48,3.93,""
131844150,"Dart",1994-06-28,1994,6,28,16.5,5,"Ye",6.2,3.4,0.5,0.51,3.5,"0.12"
131844150,"Dart",1994-07-25,1994,7,25,15.2,5,"Ye",4.5,1.6,0.5,0.51,0.83,"0.12"
131844150,"Dart",1994-08-24,1994,8,24,16,7,"Ye",4.3,1.9,0.5,0.48,1.09,"0.14"
131844150,"Dart",1995-06-20,1995,6,20,14.5,3,"Ye",2.3,1.8,4.4,0.55,0.34,"0.05"
131844150,"Dart",1995-08-09,1995,8,9,15.3,6,"Ye",NA,1.87,2,0.35,1.57,"0.12"
131844150,"Dart",1995-09-13,1995,9,13,15.7,8,"Ye",2.92,2.73,1.2,0.56,1.72,"0.1"
131844150,"Dart",1996-06-26,1996,6,26,17,5,"Ye",4.51,1.36,2.14,0.58,1.48,"0.13"
131844150,"Dart",1996-07-22,1996,7,22,15.5,6,"Ye",5.14,1.04,0.5,0.41,1.19,"0.15"
131844150,"Dart",1996-08-20,1996,8,20,15.4,5,"Ye",4.15,1.7,0.5,0.46,2.05,"0.05"
131844150,"Dart",1997-07-09,1997,7,9,15.3,4,"Ye",3.8,1.66,1.6,0.45,1.02,"0.11"
131844150,"Dart",1997-08-19,1997,8,19,15,5,"Ye",3.9,1.1,1.5,0.44,1.9,"0.12"
131844150,"Dart",1998-07-13,1998,7,13,15.3,5,"Ye",3.89,1.08,2.25,0.42,2.18,"0.11"
131844150,"Dart",1998-08-17,1998,8,17,15.3,4,"Ye",7.64,2.5,7.06,0.43,2.73,"0.14"
131844150,"Dart",1999-06-30,1999,6,30,15.8,3,"Ye",5,2,1.65,0.44,0.9,"0.17"
131844150,"Dart",1999-08-23,1999,8,23,15.8,5,"Ye",3.23,2.08,0.5,0.4,1.75,"0.11"
131844150,"Dart",2000-07-13,2000,7,13,16.9,5,"Ye",4.19,1.51,1.11,0.37,0,"0.05"
131844150,"Dart",2000-08-23,2000,8,23,16.5,7,"Ye",5.08,4.09,1.03,0.41,3.12,"0.24"
131844150,"Dart",2001-07-18,2001,7,18,16.8,4,"Ye",4.18,2.67,1.13,0.39,1.59,"0.13"
131844150,"Dart",2001-08-08,2001,8,8,16.1,3,"Ye",3.25,0.5,1.51,0.4,1.72,"0.13"
131844150,"Dart",2002-08-13,2002,8,13,16,4,"Ye",1.71,1.74,1.6,0.32,1.16,"0.13"
131844150,"Dart",2002-09-10,2002,9,10,15.5,6,"Ye",2.57,1.3,0.5,0.35,1.01,"0.13"
131844150,"Dart",2003-07-16,2003,7,16,15.7,3,"Ye",4.17,1.43,1.37,0.33,1.3,"0.13"
131844150,"Dart",2003-09-05,2003,9,5,16,6,"Ye",3.19,1.01,1.49,0.37,1.47,"0.13"
131844150,"Dart",2004-07-06,2004,7,6,15.5,1,"Ye",4.23,0.5,1.09,0.34,1.07,"0.13"
131844150,"Dart",2004-08-11,2004,8,11,15.8,6,"Ye",2.61,1.63,1.07,0.34,1.68,"0.13"
131844150,"Dart",2005-07-19,2005,7,19,16.5,4,"Ye",3.52,0.5,1,0.37,2.18,"0.25"
131844150,"Dart",2005-08-16,2005,8,16,15.5,4,"Ye",3.85,3.37,0.5,0.31,NA,"0.21"
131844150,"Dart",2006-07-17,2006,7,17,16,3,"Ye",6.02,3.65,2.21,0.33,3.27,"0.28"
131844150,"Dart",2006-08-15,2006,8,15,15.5,6,"Ye",4.52,2.7,1.95,0.28,2.99,"0.13"
131844150,"Dart",2007-07-13,2007,7,13,15.7,4,"Ye",4.7,1.63,2.52,0.47,1.12,"0.13"
131844150,"Dart",2007-07-31,2007,7,31,16.2,3,"Ye",2.8,4.49,0.8,0.39,1.31,"0.11"
131844150,"Dart",2008-06-30,2008,6,30,17.5,3,"Ye",2.77,3.92,2.36,0.46,1.31,"0.13"
131844150,"Dart",2008-08-06,2008,8,6,16.5,5,"Ye",2.52,1.96,1.38,0.15,2.4,"0.13"
131844150,"Dart",2010-07-07,2010,7,7,15.5,1,"Ye",5.38,3.52,0.97,0.19,2.81,"0.13"
131844150,"Dart",2010-08-12,2010,8,12,16,5,"Ye",3.71,0.5,2.12,0.16,2.9,""
131844150,"Dart",2011-07-14,2011,7,14,14,4,"Ye",5.08,2.97,2.91,0.42,1.78,"0.33"
131844150,"Dart",2011-08-09,2011,8,9,14.5,4,"Ye",3.49,3.16,1.21,0.2,2.54,"0.13"
131844150,"Dart",2012-07-10,2012,7,10,15,4,"Ye",5.059,2.34,1.765,0.425,1.48,"0.176"
131844150,"Dart",2012-08-07,2012,8,7,16,4,"Ye",3.21,2.85,0.381,0.419,1.94,"0.144"
131844150,"Dart",2003-08-13,2003,8,13,NA,NA,"Ye",4.02,1.85,1,0.36,2.24,"0.13"
53540671,"G",1994-06-21,1994,6,21,7.8,2,"Ye",3.2,2.5,4.1,0.38,10.89,"0.17"
53540671,"G",1994-07-26,1994,7,26,9,4,"Ye",7.1,1.6,1.1,0.26,7.38,"0.15"
53540671,"G",1994-08-22,1994,8,22,10.1,6,"Ye",3.9,3.4,1.2,0.35,6.08,"0.29"
53540671,"G",1995-06-12,1995,6,12,8.3,4,"Ye",11.1,8.5,2.8,0.94,12.66,"0.12"
53540671,"G",1995-08-14,1995,8,14,9.5,4,"Ye",7.84,1.49,0.5,NA,3.84,"0.1"
53540671,"G",1995-09-05,1995,9,5,9.6,6,"Ye",2.33,1.5,1.5,0.14,3.1,"0.05"
53540671,"G",1996-06-27,1996,6,27,8.9,3,"Ye",3.64,1.41,1.44,0.25,4.64,"0.05"
53540671,"G",1996-07-17,1996,7,17,8.8,3,"Ye",5.16,1.34,0.5,0.33,2.58,"0.05"
53540671,"G",1996-08-13,1996,8,13,9.4,7,"Ye",3.34,2.39,1.94,0.26,2.32,"0.05"
53540671,"G",1997-07-07,1997,7,7,9,4,"Ye",3.3,1.1,4.3,0.33,2.94,"0.05"
53540671,"G",1997-08-11,1997,8,11,9.4,5,"Ye",7.1,2.1,1.8,0.22,3.4,"0.05"
53540671,"G",1998-07-07,1998,7,7,8.6,3,"Ye",6.86,1.91,1.57,0.23,2.95,"0.05"
53540671,"G",1998-08-13,1998,8,13,9,5,"Ye",6.14,2.15,2.3,0.16,5.17,"0.1"
