datehour,variablelong,depth,value,hour,dates,day_night
2017-01-02T10:00:00Z,water_temp,30,26.36851054851418,10,2017-01-02,day
2017-01-02T10:00:00Z,water_temp,40,26.22478235899138,10,2017-01-02,day
2017-01-02T10:00:00Z,water_temp,50,25.99393043156267,10,2017-01-02,day
2017-01-02T11:00:00Z,water_temp,10,26.596115888410928,11,2017-01-02,day
2017-01-02T11:00:00Z,water_temp,20,26.574471786520665,11,2017-01-02,day
2017-01-02T11:00:00Z,water_temp,30,26.36445477350907,11,2017-01-02,day
2017-01-02T11:00:00Z,water_temp,40,26.228735294652225,11,2017-01-02,day
2017-01-02T11:00:00Z,water_temp,50,26.14519528577516,11,2017-01-02,day
2017-01-02T12:00:00Z,water_temp,10,26.60062225680614,12,2017-01-02,day
2017-01-02T12:00:00Z,water_temp,20,26.563511601800112,12,2017-01-02,day
2017-01-02T12:00:00Z,water_temp,30,26.359257795814273,12,2017-01-02,day
2017-01-02T12:00:00Z,water_temp,40,26.246536517620044,12,2017-01-02,day
2017-01-02T12:00:00Z,water_temp,50,26.175378613434304,12,2017-01-02,day
2017-01-02T13:00:00Z,water_temp,10,26.5969152383163,13,2017-01-02,day
2017-01-02T13:00:00Z,water_temp,20,26.558233693624164,13,2017-01-02,day
2017-01-02T13:00:00Z,water_temp,30,26.35403452015962,13,2017-01-02,day
2017-01-02T13:00:00Z,water_temp,40,26.253180500902147,13,2017-01-02,day
2017-01-02T13:00:00Z,water_temp,50,26.18254479086221,13,2017-01-02,day
2017-01-02T14:00:00Z,water_temp,10,26.59168890338144,14,2017-01-02,day
2017-01-02T14:00:00Z,water_temp,20,26.549715524767567,14,2017-01-02,day
2017-01-02T14:00:00Z,water_temp,30,26.34400974377904,14,2017-01-02,day
2017-01-02T14:00:00Z,water_temp,40,26.266101012473733,14,2017-01-02,day
2017-01-02T14:00:00Z,water_temp,50,26.195737507578453,14,2017-01-02,day
2017-01-02T15:00:00Z,water_temp,10,26.58357294156181,15,2017-01-02,night
2017-01-02T15:00:00Z,water_temp,20,26.547160156710184,15,2017-01-02,night
2017-01-02T15:00:00Z,water_temp,30,26.335714536804048,15,2017-01-02,night
2017-01-02T15:00:00Z,water_temp,40,26.27600649507512,15,2017-01-02,night
2017-01-02T15:00:00Z,water_temp,50,26.201991978177514,15,2017-01-02,night
2017-01-02T16:00:00Z,water_temp,10,26.573893966033122,16,2017-01-02,night
2017-01-02T16:00:00Z,water_temp,20,26.540856507155006,16,2017-01-02,night
2017-01-02T16:00:00Z,water_temp,30,26.344212476057404,16,2017-01-02,night
2017-01-02T16:00:00Z,water_temp,40,26.28837586366899,16,2017-01-02,night
2017-01-02T16:00:00Z,water_temp,50,26.212799472271296,16,2017-01-02,night
2017-01-02T17:00:00Z,water_temp,10,26.566138778706833,17,2017-01-02,night
2017-01-02T17:00:00Z,water_temp,20,26.533620279007433,17,2017-01-02,night
2017-01-02T17:00:00Z,water_temp,30,26.419311652249757,17,2017-01-02,night
2017-01-02T17:00:00Z,water_temp,40,26.299518493128524,17,2017-01-02,night
2017-01-02T17:00:00Z,water_temp,50,26.256754524874157,17,2017-01-02,night
2017-01-02T18:00:00Z,water_temp,10,26.552675450012714,18,2017-01-02,night
2017-01-02T18:00:00Z,water_temp,20,26.52239825644015,18,2017-01-02,night
2017-01-02T18:00:00Z,water_temp,30,26.430032969525108,18,2017-01-02,night
2017-01-02T18:00:00Z,water_temp,40,26.299799007688154,18,2017-01-02,night
2017-01-02T18:00:00Z,water_temp,50,26.282972129186835,18,2017-01-02,night
2017-01-02T19:00:00Z,water_temp,10,26.52841196614688,19,2017-01-02,night
2017-01-02T19:00:00Z,water_temp,20,26.51568995531009,19,2017-01-02,night
2017-01-02T19:00:00Z,water_temp,30,26.44077272152548,19,2017-01-02,night
2017-01-02T19:00:00Z,water_temp,40,26.29832614751299,19,2017-01-02,night
2017-01-02T19:00:00Z,water_temp,50,26.28468324034154,19,2017-01-02,night
2017-01-02T20:00:00Z,water_temp,10,26.525566638051835,20,2017-01-02,night
2017-01-02T20:00:00Z,water_temp,20,26.524839120386346,20,2017-01-02,night
2017-01-02T20:00:00Z,water_temp,30,26.458064435019352,20,2017-01-02,night
2017-01-02T20:00:00Z,water_temp,40,26.29838753113989,20,2017-01-02,night
2017-01-02T20:00:00Z,water_temp,50,26.281322405977413,20,2017-01-02,night
2017-01-02T21:00:00Z,water_temp,10,26.529158132948396,21,2017-01-02,night
2017-01-02T21:00:00Z,water_temp,20,26.522029393309428,21,2017-01-02,night
2017-01-02T21:00:00Z,water_temp,30,26.483341305719907,21,2017-01-02,night
2017-01-02T21:00:00Z,water_temp,40,26.297870294313103,21,2017-01-02,night
2017-01-02T21:00:00Z,water_temp,50,26.28239293339928,21,2017-01-02,night
2017-01-02T22:00:00Z,water_temp,10,26.530659686626347,22,2017-01-02,night
2017-01-02T22:00:00Z,water_temp,20,26.513854989322144,22,2017-01-02,night
2017-01-02T22:00:00Z,water_temp,30,26.49071930076702,22,2017-01-02,night
2017-01-02T22:00:00Z,water_temp,40,26.29167210711009,22,2017-01-02,night
2017-01-02T22:00:00Z,water_temp,50,26.280892425601817,22,2017-01-02,night
2017-01-02T23:00:00Z,water_temp,10,26.522493271559462,23,2017-01-02,night
2017-01-02T23:00:00Z,water_temp,20,26.513828612451622,23,2017-01-02,night
2017-01-02T23:00:00Z,water_temp,30,26.494996914593905,23,2017-01-02,night
2017-01-02T23:00:00Z,water_temp,40,26.29768639795439,23,2017-01-02,night
2017-01-02T23:00:00Z,water_temp,50,26.284007541698625,23,2017-01-02,night
